City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
102,Busselton,AU,-33.65,115.3333,59.34,67,0,3.56,clear sky
103,Longyearbyen,SJ,78.2186,15.6401,19.24,86,40,3.44,scattered clouds
104,Souillac,MU,-20.5167,57.5167,68.38,77,40,4.61,scattered clouds
105,Nanortalik,GL,60.1432,-45.2371,36.93,76,100,6.44,overcast clouds
106,Lagoa,PT,39.05,-27.9833,62.38,57,100,27.34,light rain
107,Zhob,PK,31.3411,69.4481,61.65,25,0,2.13,clear sky
108,Dhidhdhoo,MV,6.8833,73.1,78.57,87,100,22.82,overcast clouds
109,Humberto De Campos,BR,-2.5983,-43.4611,78.67,82,19,8.3,few clouds
110,Kumla,SE,59.1277,15.1434,46.99,93,100,3.44,overcast clouds
111,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.65,88,100,16.17,overcast clouds
112,Aripuana,BR,-9.1667,-60.6333,70.92,99,100,1.81,overcast clouds
113,Barrow,US,71.2906,-156.7887,26.62,80,100,12.66,overcast clouds
114,Saldanha,ZA,-33.0117,17.9442,60.19,92,100,9.42,overcast clouds
115,Neuquen,AR,-38.9516,-68.0591,57.09,72,0,4.61,clear sky
116,Faanui,PF,-16.4833,-151.75,77.68,79,37,16.13,light rain
117,Yulara,AU,-25.2406,130.9889,68.25,37,0,20.29,clear sky
118,La Mira,MX,18.035,-102.3266,79.14,86,100,0.87,light rain
119,Luderitz,NA,-26.6481,15.1594,59.61,80,97,9.35,overcast clouds
120,Kangaatsiaq,GL,68.3065,-53.4641,40.26,88,100,27.29,overcast clouds
121,Provideniya,RU,64.3833,-173.3,33.91,75,100,15.99,overcast clouds
122,Vardo,NO,70.3705,31.1107,37.38,87,97,12.66,overcast clouds
123,Khatanga,RU,71.9667,102.5,20.53,96,100,7.2,light snow
124,Saint-Denis,FR,48.9167,2.3333,62.76,96,100,4.61,overcast clouds
125,Kamennogorsk,RU,60.9545,29.1339,46.53,90,100,4.56,overcast clouds
126,Esperance,AU,-33.8667,121.9,60.87,65,9,11.34,clear sky
127,Dharchula,IN,29.85,80.5333,55.63,72,0,6.13,clear sky
128,Salalah,OM,17.0151,54.0924,75.29,64,0,3.44,clear sky
129,Makokou,GA,0.5738,12.8642,68.31,98,100,0.63,light rain
130,Raudeberg,NO,61.9875,5.1352,45.27,41,100,8.32,overcast clouds
131,Leningradskiy,RU,69.3833,178.4167,17.56,90,100,6.11,overcast clouds
132,Shache,CN,38.4167,77.2406,52.65,18,100,0.72,overcast clouds
133,Hermanus,ZA,-34.4187,19.2345,56.8,91,100,5.66,overcast clouds
134,Husavik,IS,66.0449,-17.3389,32.23,76,16,12.3,few clouds
135,Tasiilaq,GL,65.6145,-37.6368,33.96,69,100,4.43,overcast clouds
136,Fortuna,US,40.5982,-124.1573,65.93,72,20,9.22,few clouds
137,Winthrop,US,42.3751,-70.9828,61.21,94,100,8.05,overcast clouds
138,Deputatskiy,RU,69.3,139.9,6.1,94,99,5.53,overcast clouds
139,Turukhansk,RU,65.8167,87.9833,32.5,98,100,7.0,light snow
140,Fort Nelson,CA,58.8053,-122.7002,61.84,37,100,4.9,overcast clouds
141,Buchanan,LR,5.8808,-10.0467,75.25,91,10,1.99,moderate rain
142,San Benito,US,36.6166,-121.0844,63.86,52,61,4.07,broken clouds
143,Progreso,MX,21.2833,-89.6667,84.31,82,100,11.07,light rain
144,Yanam,IN,16.7333,82.2167,75.61,91,97,3.98,overcast clouds
145,Show Low,US,34.2542,-110.0298,54.01,71,100,0.0,overcast clouds
146,Brejo Da Madre De Deus,BR,-8.1458,-36.3711,65.64,89,40,7.36,scattered clouds
147,Hofn,IS,64.2539,-15.2082,39.72,67,100,4.27,overcast clouds
148,Khairagarh,IN,26.95,77.8167,70.84,66,0,6.33,clear sky
149,Hay River,CA,60.8156,-115.7999,57.18,47,40,6.91,scattered clouds
150,Kaitong,CN,44.8135,123.15,40.82,29,0,5.68,clear sky
151,Novikovo,RU,51.1537,37.8879,44.87,65,95,7.65,overcast clouds
152,Hilo,US,19.7297,-155.09,85.28,79,100,10.36,overcast clouds
153,Ahuimanu,US,21.4447,-157.8378,86.94,58,22,7.74,few clouds
