City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,San Patricio,US,2022-10-16 22:06:41,28.017,-97.5169,92.12,50,55,12.24
162,Khatanga,RU,2022-10-16 22:06:41,71.9667,102.5,15.42,96,100,7.7
163,Qaqortoq,GL,2022-10-16 22:06:42,60.7167,-46.0333,30.94,65,7,6.49
164,Port-Cartier,CA,2022-10-16 22:04:10,50.0334,-66.8654,47.75,98,85,2.46
165,Vardo,NO,2022-10-16 22:06:42,70.3705,31.1107,40.98,93,75,12.66
166,Khlevnoye,RU,2022-10-16 22:06:43,52.1951,39.0932,32.02,74,1,5.37
167,Beringovskiy,RU,2022-10-16 22:06:43,63.05,179.3167,24.76,69,99,15.77
168,Suihua,CN,2022-10-16 22:06:43,46.6406,126.9969,33.91,71,76,10.47
169,Miraflores,MX,2022-10-16 22:06:44,19.2167,-98.8083,78.03,64,95,3.85
170,Sandpoint,US,2022-10-16 22:05:15,48.2766,-116.5533,77.85,33,0,9.22
171,Aktau,KZ,2022-10-16 22:06:44,43.65,51.2,52.38,44,100,13.8
172,Diego De Almagro,CL,2022-10-16 22:06:44,-26.3667,-70.05,68.54,24,0,8.61
173,Sijunjung,ID,2022-10-16 22:06:45,-0.6876,100.9537,72.28,96,100,1.21
174,Svetlogorsk,BY,2022-10-16 22:06:45,52.6333,29.7333,45.1,61,100,12.15
175,Penzance,GB,2022-10-16 22:06:45,50.1186,-5.5371,59.68,83,100,22.48
176,Samarai,PG,2022-10-16 22:06:46,-10.6167,150.6667,81.45,80,51,11.32
177,Carnarvon,AU,2022-10-16 22:06:46,-24.8667,113.6333,63.57,64,24,18.39
178,Zemio,CF,2022-10-16 22:06:46,5.0314,25.1361,68.16,98,100,2.13
179,Timra,SE,2022-10-16 22:06:47,62.487,17.3257,40.68,93,100,6.91
180,Luganville,VU,2022-10-16 22:06:47,-15.5333,167.1667,80.69,79,62,9.08
181,Dikson,RU,2022-10-16 22:06:47,73.5069,80.5464,28.15,94,100,8.32
182,Port Alfred,ZA,2022-10-16 22:07:48,-33.5906,26.891,64.18,94,100,1.99
183,Bhongir,IN,2022-10-16 22:07:48,17.5108,78.8889,71.17,97,99,6.35
184,Sotouboua,TG,2022-10-16 22:07:48,8.5667,0.9833,74.41,77,46,0.31
185,Twin Falls,US,2022-10-16 22:04:22,42.3505,-114.6445,71.94,20,0,12.66
186,Vavatenina,MG,2022-10-16 22:07:49,-17.4667,49.2,61.59,98,20,2.17
187,Nueva Concepcion,GT,2022-10-16 22:07:49,14.2,-91.3,81.86,85,90,5.28
188,Yermakovskoye,RU,2022-10-16 22:07:49,53.2831,92.4003,31.37,63,77,3.47
189,Sao Filipe,CV,2022-10-16 22:07:50,14.8961,-24.4956,77.23,75,42,10.69
190,Hueyotlipan,MX,2022-10-16 22:07:50,18.9,-97.85,72.28,53,89,4.09
191,Zhicheng,CN,2022-10-16 22:07:50,30.2956,111.5047,63.03,47,10,6.24
192,Ostrovnoy,RU,2022-10-16 22:07:51,68.0531,39.5131,47.37,90,100,22.1
193,Vega De Alatorre,MX,2022-10-16 22:07:51,20.0333,-96.6333,82.89,73,35,6.33
194,Gelemso,ET,2022-10-16 22:07:51,8.8167,40.5167,63.57,65,75,3.29
195,San Cristobal,VE,2022-10-16 22:07:52,7.7669,-72.225,78.98,83,54,3.69
196,Sorgun,TR,2022-10-16 22:07:52,39.8101,35.186,53.31,90,100,5.77
197,Kyshtovka,RU,2022-10-16 22:07:53,56.555,76.6271,44.31,86,99,3.4
198,Tura,IN,2022-10-16 22:07:53,25.5198,90.2201,68.04,94,4,3.74
199,Coahuayana,MX,2022-10-16 22:07:53,18.7333,-103.6833,86.02,71,88,4.7
200,Guerrero Negro,MX,2022-10-16 22:03:55,27.9769,-114.0611,73.94,55,6,14.56
201,Kuito,AO,2022-10-16 22:07:54,-12.3833,16.9333,62.1,75,87,6.89
202,Winschoten,NL,2022-10-16 22:07:54,53.1442,7.0347,56.17,77,100,6.87
203,Lata,PT,2022-10-16 22:07:54,40.1629,-8.3327,65.8,74,100,3.31
204,Tiksi,RU,2022-10-16 22:07:55,71.6872,128.8694,18.64,88,100,19.86
205,Sitka,US,2022-10-16 22:07:55,57.0531,-135.33,60.69,77,75,9.22
206,Chute-Aux-Outardes,CA,2022-10-16 22:07:55,49.1168,-68.399,45.25,82,21,3.65
207,Victoria,HK,2022-10-16 22:07:17,22.2855,114.1577,81.32,46,100,20.0
208,Iralaya,HN,2022-10-16 22:07:56,15.0,-83.2333,81.09,84,96,8.01
